species;lat;long
Saguinus bicolor;-2.90;-60.12
Saguinus bicolor;-2.91;-59.97
Saguinus bicolor;-3.09;-59.97
Saguinus bicolor;-3.07;-59.96
Saguinus bicolor;-2.85;-60.02
Saguinus bicolor;-2.63;-59.91
Saguinus bicolor;-2.84;-59.86
Saguinus bicolor;-2.80;-59.87
Saguinus bicolor;-2.83;-59.96
Saguinus bicolor;-2.75;-59.91
Saguinus bicolor;-2.70;-59.87
Saguinus bicolor;-2.77;-60.13
Saguinus bicolor;-3.09;-59.05
Saguinus bicolor;-3.08;-59.95
Saguinus bicolor;-2.74;-59.55
Saguinus bicolor;-2.83;-60.17
Saguinus bicolor;-2.83;-59.42
Saguinus bicolor;-2.91;-59.19
Saguinus bicolor;-2.97;-59.93
Saguinus bicolor;-2.66;-60.29
Saguinus bicolor;-2.67;-60.31
Saguinus bicolor;-2.62;-59.69
Saguinus bicolor;-2.61;-59.73
Saguinus bicolor;-2.73;-59.88
Saguinus bicolor;-2.79;-59.93
Saguinus bicolor;-3.03;-59.98
Saguinus bicolor;-3.05;-60.01
Saguinus bicolor;-3.03;-59.98
Saguinus bicolor;-3.03;-59.98
Saguinus bicolor;-3.03;-60.09
Saguinus bicolor;-3.02;-60.05
Saguinus bicolor;-3.06;-60.08
Saguinus bicolor;-2.79;-60.04
Saguinus bicolor;-2.80;-60.08
Saguinus bicolor;-2.94;-60.15
Saguinus bicolor;-2.90;-59.14
Saguinus bicolor;-2.92;-59.20
Saguinus bicolor;-3.10;-60.04
Saguinus bicolor;-2.66;-59.36
Saguinus bicolor;-3.01;-60.23
Saguinus bicolor;-3.01;-60.23
Saguinus bicolor;-2.99;-60.24
Saguinus bicolor;-2.75;-59.85
Saguinus bicolor;-2.89;-59.85
Saguinus bicolor;-3.00;-60.14
Saguinus bicolor;-3.03;-59.84
Saguinus bicolor;-3.05;-60.10
Saguinus bicolor;-2.80;-60.07
Saguinus bicolor;-3.01;-60.07
Saguinus bicolor;-2.78;-60.17
Saguinus bicolor;-2.99;-60.39
Saguinus bicolor;-2.74;-59.75
Saguinus bicolor;-2.74;-59.90
Saguinus bicolor;-2.95;-59.94
Saguinus bicolor;-2.94;-59.96
Saguinus bicolor;-3.07;-60.08
Saguinus bicolor;-3.06;-59.89
Saguinus bicolor;-2.83;-59.95
Saguinus bicolor;-2.78;-60.15
Saguinus bicolor;-2.76;-60.16
Saguinus bicolor;-3.04;-59.11
Saguinus bicolor;-2.66;-59.36
Saguinus bicolor;-2.89;-59.11
Saguinus bicolor;-3.00;-59.93
Saguinus bicolor;-2.97;-59.95
Saguinus bicolor;-2.93;-59.94
Saguinus bicolor;-2.93;-59.92
Saguinus bicolor;-2.87;-60.06
Saguinus bicolor;-2.81;-60.18
Saguinus bicolor;-2.98;-60.09
Saguinus bicolor;-3.08;-59.96
Saguinus bicolor;-3.03;-60.07
Saguinus bicolor;-2.77;-59.96
Saguinus bicolor;-2.75;-59.97
Saguinus bicolor;-2.72;-59.80
Saguinus bicolor;-2.76;-60.16
Saguinus bicolor;-2.80;-59.93
Saguinus bicolor;-2.73;-59.87
Saguinus bicolor;-2.60;-59.52
Saguinus bicolor;-2.79;-59.93
Saguinus bicolor;-2.55;-59.69
Saguinus bicolor;-2.59;-59.63
Saguinus bicolor;-2.60;-59.70
Saguinus bicolor;-2.73;-59.31
Saguinus bicolor;-2.92;-59.13
Saguinus bicolor;-2.92;-59.13
Saguinus bicolor;-2.67;-59.36
Saguinus bicolor;-2.92;-59.13
Saguinus bicolor;-3.05;-59.83
Saguinus bicolor;-2.75;-59.97
Saguinus bicolor;-2.92;-59.97
Saguinus bicolor;-3.05;-59.84
Saguinus bicolor;-2.91;-59.12
Saguinus bicolor;-2.74;-60.16
Saguinus bicolor;-2.71;-60.15
Saguinus bicolor;-2.98;-60.16
Saguinus bicolor;-2.82;-60.16
Saguinus bicolor;-2.69;-60.05
Saguinus bicolor;-2.69;-60.05
Saguinus bicolor;-2.57;-59.56
Saguinus bicolor;-2.63;-59.67
Saguinus bicolor;-2.86;-59.93
Saguinus bicolor;-2.73;-60.06
Saguinus bicolor;-2.86;-60.03
Saguinus bicolor;-2.73;-60.04
Saguinus bicolor;-2.79;-60.03
Saguinus bicolor;-2.69;-60.07
Saguinus bicolor;-2.97;-59.27
Saguinus bicolor;-2.55;-59.69
Saguinus bicolor;-3.02;-59.89
Saguinus bicolor;-2.77;-60.03
Saguinus bicolor;-2.85;-60.13
Saguinus bicolor;-2.84;-60.16
Saguinus bicolor;-2.66;-59.73
Saguinus bicolor;-2.55;-59.65
Saguinus bicolor;-2.68;-59.49
Saguinus bicolor;-2.82;-59.94
Saguinus bicolor;-2.51;-59.51
Saguinus bicolor;-2.86;-59.97
Saguinus bicolor;-3.00;-60.21
Saguinus bicolor;-3.10;-59.90
Saguinus bicolor;-2.99;-59.93
Saguinus bicolor;-2.91;-59.07
Saguinus bicolor;-2.85;-59.41
Saguinus bicolor;-3.24;-58.83
Saguinus midas;1.48;-61.24
Saguinus midas;1.37;-61.26
Saguinus midas;1.81;-61.01
Saguinus midas;1.46;-61.01
Saguinus midas;-1.92;-59.45
Saguinus midas;-2.62;-60.22
Saguinus midas;-2.59;-60.03
Saguinus midas;-2.43;-59.79
Saguinus midas;-2.66;-60.05
Saguinus midas;1.47;-60.97
Saguinus midas;-2.80;-60.07
Saguinus midas;-0.07;-60.69
Saguinus midas;-1.53;-60.23
Saguinus midas;-2.78;-60.17
Saguinus midas;-2.53;-60.04
Saguinus midas;-2.59;-60.31
Saguinus midas;-2.57;-60.31
Saguinus midas;-2.58;-60.31
Saguinus midas;-3.13;-58.71
Saguinus midas;-2.94;-58.93
Saguinus midas;-2.87;-59.03
Saguinus midas;-3.05;-58.82
Saguinus midas;-2.68;-60.35
Saguinus midas;-2.43;-59.82
Saguinus midas;-2.19;-60.01
Saguinus midas;-2.51;-59.72
Saguinus midas;-3.00;-58.45
Saguinus midas;-3.03;-58.44
Saguinus midas;-3.03;-58.44
Saguinus midas;-3.03;-58.54
Saguinus midas;-3.06;-58.55
Saguinus midas;-3.03;-58.56
Saguinus midas;-3.18;-58.74
Saguinus midas;-2.61;-60.31
Saguinus midas;-2.94;-58.92
Saguinus midas;-3.05;-58.82
Saguinus midas;-2.88;-59.03
Saguinus midas;-2.87;-59.03
Saguinus midas;-2.81;-59.14
Saguinus midas;-2.71;-59.30
Saguinus midas;-2.69;-60.06
Saguinus midas;-2.69;-60.07
Saguinus midas;-2.50;-59.61
Saguinus midas;-2.53;-59.63
Saguinus midas;-2.88;-58.98
Saguinus midas;-2.93;-58.93
Saguinus midas;-2.93;-58.93
Saguinus midas;-2.95;-58.97
Saguinus midas;-3.05;-58.82
Saguinus midas;-3.06;-58.82
Saguinus midas;-2.94;-58.93
Saguinus midas;-2.94;-58.93
Saguinus midas;-3.12;-58.71
Saguinus midas;-3.13;-58.71
Saguinus midas;-3.14;-58.71
Saguinus midas;-2.05;-59.92
Saguinus midas;-2.05;-59.91
Saguinus midas;-2.47;-59.61
Saguinus midas;-2.43;-59.56
Saguinus midas;-2.40;-59.56
Saguinus midas;-2.45;-59.57
Saguinus midas;-2.04;-59.78
Saguinus midas;-2.23;-60.04
Saguinus midas;-2.52;-59.51
Saguinus midas;-2.57;-60.02
Saguinus midas;-2.62;-60.04
Saguinus midas;-2.42;-59.55
Saguinus midas;-2.66;-60.04
Saguinus midas;-2.60;-59.91
Saguinus midas;-2.63;-59.91
Saguinus midas;-2.61;-59.92
Saguinus midas;-2.54;-60.03
Saguinus midas;-2.46;-59.58
Saguinus midas;-2.91;-58.69
Saguinus midas;-2.93;-58.69
Saguinus midas;-3.05;-58.72
Saguinus midas;-3.06;-58.73
Saguinus midas;-3.01;-58.69
Saguinus midas;-3.11;-58.48
Saguinus midas;-3.06;-58.77
Saguinus midas;-2.59;-60.21
Saguinus midas;-2.61;-60.21
Saguinus midas;-2.60;-59.91
Saguinus midas;-2.60;-60.21
Saguinus midas;-3.00;-58.86
Saguinus midas;-3.09;-58.85
Saguinus midas;-3.00;-58.82
Saguinus midas;-3.08;-58.84
Saguinus midas;-3.10;-58.84
Saguinus midas;-3.06;-58.71
Saguinus midas;-3.08;-58.71
Saguinus midas;-2.66;-59.37
Saguinus midas;-2.56;-60.32
Saguinus midas;-2.66;-60.07
Saguinus midas;-2.64;-60.05
Saguinus midas;-2.64;-60.04
Saguinus midas;-2.59;-60.12
Saguinus midas;-2.57;-60.09
Saguinus midas;-2.60;-59.99
Saguinus midas;-2.67;-60.04
Saguinus midas;-2.40;-59.87
Saguinus midas;-2.42;-59.79
Saguinus midas;-2.40;-59.91
Saguinus midas;-2.44;-59.76
Saguinus midas;-2.80;-60.08
Saguinus midas;-3.06;-58.71
Saguinus midas;-3.11;-58.45
Saguinus midas;-3.09;-58.53
Saguinus midas;-3.06;-58.63
Saguinus midas;-3.06;-58.72
Saguinus midas;-2.78;-60.46
Saguinus midas;-2.56;-60.31
Saguinus midas;-2.63;-59.35
Saguinus midas;-2.64;-59.36
Saguinus midas;1.33;-61.15
Saguinus midas;-0.75;-60.55
Saguinus midas;-0.36;-60.68
Saguinus midas;-1.24;-60.41
Saguinus midas;-1.03;-60.47
Saguinus midas;-2.31;-60.08
Saguinus midas;-2.58;-60.11
Saguinus midas;-1.80;-60.21
Saguinus midas;-1.85;-60.56
Saguinus midas;-2.03;-59.91
Saguinus midas;-2.02;-60.03
Saguinus midas;-2.03;-60.02
Saguinus midas;-1.91;-59.87
Saguinus midas;-1.97;-60.04
Saguinus midas;-2.00;-60.03
Saguinus midas;-2.37;-59.87
Saguinus midas;-2.37;-59.97
Saguinus midas;-2.04;-59.91
Saguinus midas;-1.96;-60.08
Saguinus midas;-2.68;-60.04
Saguinus midas;-2.64;-60.07
Saguinus midas;-0.92;-57.62
Saguinus midas;-2.35;-60.01
Saguinus midas;-1.22;-60.43
Saguinus midas;-2.13;-59.99
Saguinus midas;-2.43;-60.02
Saguinus midas;-2.09;-58.41
Saguinus midas;-3.05;-58.49
Saguinus midas;-2.28;-60.79
Saguinus midas;-2.52;-59.70